Predio/Paraje,ln,lw
Pp El Soldado,23.92333333,-104.9325
Com Santa Maria De Ocotan Y Xoconoxtle / Los Papeles,22.95138889,-104.61
Com Santiago Bayacora / El Cocono,23.60777778,-104.7458333
Ejido El Brillante / La Quebrada,23.79277778,-105.3527778
Ejido El Salto / La Cebolleta,23.77861111,-105.3266667
Ejido El Brillante / El Piturrin,23.75888889,-105.3541667
Ejido La Ciudad / Arroyo De Las Vivoras,23.76944444,-105.6166667
Pino Alto,25.11194444,-106.5444444
Ejido Matalotes,26.39111111,-105.6897222
Ejido El Brillante / Rincon De La Coca,23.75555556,-105.3591667
Fracc. Paraiso De La Sierra,23.85111111,-105.2780556
Pino Alto 2,25.11,-106.5491667
Ejido Mil Diez Y Anexos / Mesa De Las Burras,23.79888889,-105.3763889
Ejido San Pedro / Las Joyas,24.00333333,-105.6952778
Chavarria De Abajo,24.36888889,-105.5347222
Ejido Quince De Mayo / La Colgada,23.99194444,-104.7744444
Ejido Jose Maria Morelos / El Cipres Pp De Cristino La Tableta,23.83805556,-105.2861111
Ejido San Pablo / Puerto Del Gavilán,23.82166667,-105.4944444
Cañón De Fernández /,25.39472222,-103.7394444
Pp Gamero,23.81444444,-105.335
Pp Canoas,23.96472222,-105.0808333
Com Santa Maria De Ocotan Y Xoconoxtle / Mesa De Los Lobos,23.08666667,-104.6658333
Ejido La Victoria Y Anexos,23.78833333,-105.3775
Com Santa Maria De Ocotan Y Xoconoxtle / Pata Gallo,22.9825,-104.6755556
Com Santa Maria De Ocotan Y Xoconoxtle / Gavelancio,22.94083333,-104.6016667
Com Santa Maria De Ocotan Y Xoconoxtle/ Mesa Del Bajio,22.80833333,-104.3461111
Com Santa Maria De Ocotan Y Xoconoxtle / Las Milpas Peñasco Colorado,23.05277778,-104.4644444
Com Santa Maria De Ocotan Y Xoconoxtle / Pinos Tristes,23.03305556,-104.5727778
Com Santa Maria De Ocotan Y Xoconoxtle / El Pescado,22.96555556,-104.6227778
Com Santa Maria De Ocotan Y Xoconoxtle / Laguna,23.00583333,-104.6155556
Cañada Del Macho,25.12,-106.4394444
Carboneras,23.80972222,-105.3333333
Com Santa María De Ocotán Y Xoconoxtle / Toro Parado,22.93666667,-104.5238889
Com Santa Maria De Ocotán Y Xoconoxtle / Aguilillas,22.91861111,-104.65
Com Santa María De Ocotán Y Xoconoxtle / Candelaria Tierra Amarillo,23.05222222,-104.4641667
Sierra Del Nayar / Mesa De Los Llanitos,23.91361111,-104.7019444
Ejido Las Huertas / Carboneras Y Espadañal,24.18333333,-105.9188889
Com Santa María De Ocotán Y Xoconoxtle / La Curz,22.88944444,-104.5661111
Com Santa María De Ocotán Y Xoconoxtle / Pinole Quemado,22.96722222,-104.3733333
Santa María De Otáez,24.70277778,-105.9747222
Com Santa Maria De Ocotán Y Xoconoxtle / Gavilanes 2,22.75083333,-104.265
Com Santa María De Ocotán Y Xoconoxtle / Pinos Altos,22.75194444,-104.5355556
Com Santa Maria De Ocotán Y Xoconoxtle / Manzanillo,22.76388889,-104.5230556
Com Santa María De Ocotán Y Xoconoxtle / Mesa Del Llano,22.87069444,-104.5023611
Com Santa María De Ocotán Y Xoconoxtle / Las Flores - Los Amoles,22.72583333,-104.3111111
Pp Cerro Prieto,24.27222222,-105.3444444
Pp El Soldado / Palmito Cabañas,23.92666667,-104.9269444
Com Santa María De Ocotán Y Xoconoxtle / Toro Parado,22.93583333,-104.5169444
Ejido La Campana / Las Rusias,23.74722222,-105.5366667
Ejido La Victoria Y Anexos / Cordón Mocho,23.67694444,-105.4683333
Com Santa Maria De Ocotán Y Xoconoxtle / Cerro De Las Papas El Capulin,23.01277778,-104.6497222
La Cebadilla,25.13638889,-106.4380556
Ejido Chavarria Viejo / Las Adjuntas,23.73194444,-105.5030556
Com San Antonio De La Cueva,24.81388889,-106.6858333
Com Santiago Teneraca / Barbechos Los Grises Las Águillas,23.05,-104.7638889
Com Santa María De Ocotán Y Xoconoxtle / La Ventana Entronque A Llano Grande,22.97888889,-104.4666667
Pp Jorge Carreño Ramos,25.2125,-106.5769444
Com Santana / El Durazno,25.35361111,-106.9322222
Com Santa Maria De Ocotán Y Xoconoxtle / Agua Zarca,22.94,-104.5561111
Ejido Tamazula / Las Higueritas,24.95611111,-106.9494444
Fracc. Bosques De Llano Grande / Llano Grande Durango,23.825,-105.2263889
Com Santa Mariía De Ocotán Y Xoconoxtle / Pico Del Águila,22.84805556,-104.5005556
Ejido San José De La Chaparra / Laguna De La Chaparra,25.01877778,-105.6803889
Com San Buenaventura,22.60611111,-104.9811111
Com San Bernardino De Milpillas Chico,23.42111111,-105.0869444
Com Santa Maria De Ocotán Y Xoconoxtel / Las Minas,22.97638889,-104.6522222
Com Santa María De Ocotán Y Xoconoxtle / Las Flores Mesa Del Bajio,22.83138889,-104.3505556
Com San Francisco De Ocotán / Enrramada,22.69166667,-104.7938889
Cañada Del Macho 2,25.13222222,-106.4377778
Ejido Bajios Del Pinto / Mesa De La Bolsa Y Las Trochileras,24.89166667,-105.6763889
Ejido José María Morelos Y Pavón / La Manga,24.07611111,-104.6930556
Com Bagres Y Anexos,25.60416667,-106.1011111
Providencia De Llano Grande,23.84805556,-105.2744444
